ID,POSITION,HEIGHT,WEIGHT,CAREER_STAGE,AGE,SPONSORSHIP_EARNINGS,SHOE_SPONSOR
117,guard,190,207,mid-career,27,648,yes
118,guard,185,197,mid-career,29,178,yes
119,forward,202,220,mid-career,31,542,no
120,guard,178,193,rookie,21,1078,no
121,forward,191,218,rookie,19,1855,no
122,guard,185,200,mid-career,31,213,yes
123,forward,198,221,rookie,22,1409,no
124,forward,198,221,rookie,22,1409,no
125,forward,198,221,,22,1409,no
126,guard,172,183,rookie,24,1383,yes
127,guard,189,199,mid-career,27,385,yes
128,center,207,247,veteran,27,1065,no
129,guard,185,197,mid-career,29,178,yes
130,guard,172,183,rookie,24,1383,yes
131,forward,192,218,veteran,29,561,yes
132,guard,185,200,mid-career,31,213,yes
133,forward,195,221,veteran,25,694,no
134,guard,189,199,mid-career,27,385,yes
135,guard,178,193,rookie,21,1078,no
136,forward,192,218,veteran,29,561,yes
137,guard,185,207,rookie,23,1497,yes
138,guard,182,199,rookie,21,1678,yes
139,guard,178,193,rookie,21,1078,no
140,center,206,246,mid-career,29,314,no
141,center,195,235,mid-career,28,481,no
142,guard,158,184,veteran,29,162,yes
143,guard,182,199,rookie,21,1678,yes
144,forward,197,221,rookie,22,1312,no
145,forward,197,221,rookie,22,1312,no
146,forward,192,218,veteran,29,561,yes
147,center,196,235,veteran,32,47,no
148,forward,198,223,veteran,29,362,yes
149,forward,205,232,rookie,24,1416,no
150,forward,195,221,veteran,25,694,no
151,forward,191,218,rookie,19,1855,no
152,guard,189,199,mid-career,27,385,yes
153,forward,198,221,rookie,22,1409,no
154,forward,195,221,veteran,25,694,no
155,guard,189,199,mid-career,27,385,yes
156,guard,182,199,rookie,21,1678,yes
157,guard,185,207,rookie,23,1497,yes
158,center,218,251,mid-career,35,60,no
159,forward,192,218,veteran,29,561,yes
160,forward,215,232,mid-career,30,434,no
161,forward,190,215,rookie,22,1179,no
162,forward,190,215,rookie,22,1179,no
163,center,201,244,mid-career,25,1111,yes
164,guard,178,193,rookie,21,1078,no
165,forward,198,223,veteran,29,362,yes
166,forward,197,221,rookie,22,1312,no
167,guard,185,207,,23,1497,yes
168,guard,182,199,rookie,21,1678,yes
169,forward,184,213,mid-career,32,12,no
170,center,196,235,veteran,32,47,no
171,forward,197,221,rookie,22,1312,no
172,forward,192,218,veteran,29,561,yes
173,forward,197,221,rookie,22,1312,no
174,forward,198,223,veteran,29,362,yes
175,guard,185,197,mid-career,29,178,yes
176,guard,169,183,rookie,24,1034,yes
177,forward,197,221,rookie,22,1312,no
178,forward,192,218,veteran,29,561,yes
179,forward,198,223,veteran,29,362,yes
180,forward,191,218,rookie,19,1855,no
181,forward,190,215,rookie,22,1179,no
182,guard,169,183,rookie,24,1034,yes
183,forward,195,221,veteran,25,694,no
184,center,196,235,veteran,32,47,no
185,guard,189,199,mid-career,27,385,yes
186,guard,185,197,mid-career,29,178,yes
187,guard,185,197,mid-career,29,178,yes
188,forward,191,218,rookie,19,1855,no
189,forward,205,232,rookie,24,1416,no
190,forward,198,221,rookie,22,1409,no
191,guard,172,183,rookie,24,1383,yes
192,center,195,235,mid-career,28,481,no
193,forward,195,221,veteran,25,694,no
194,guard,158,184,veteran,29,162,yes
195,guard,192,200,mid-career,32,427,yes
196,center,207,247,veteran,27,1065,no
197,forward,192,219,rookie,22,1359,no
198,center,201,244,mid-career,25,1111,yes
199,forward,198,223,veteran,29,362,yes
200,forward,190,215,rookie,22,1179,no
201,forward,195,221,veteran,25,694,no
202,guard,172,183,rookie,24,1383,yes
203,guard,185,197,mid-career,29,178,yes
204,center,206,246,mid-career,29,314,no
205,center,207,247,veteran,27,1065,no
206,forward,192,219,rookie,22,1359,no
207,guard,172,183,rookie,24,1383,yes
208,forward,195,221,veteran,25,694,no
209,center,196,235,veteran,32,47,no
210,center,195,235,mid-career,28,481,no
211,forward,184,213,mid-career,32,12,no
212,forward,198,221,rookie,22,1409,no
213,center,218,251,mid-career,35,60,no
214,forward,205,232,rookie,24,1416,no
215,guard,172,183,rookie,24,1383,yes
216,center,201,244,mid-career,25,1111,yes
217,guard,185,200,mid-career,31,213,yes
218,forward,202,220,mid-career,31,542,no
219,guard,166,188,rookie,21,1536,yes
220,forward,198,221,rookie,22,1409,no
221,forward,198,221,rookie,22,1409,no
222,guard,185,207,rookie,23,1497,yes
223,guard,185,207,rookie,23,1497,yes
224,guard,192,200,mid-career,32,427,yes
225,center,201,244,mid-career,25,1111,yes
226,center,201,244,mid-career,25,1111,yes
227,center,206,246,mid-career,29,314,no
228,forward,191,218,rookie,19,1855,no
229,forward,190,215,rookie,22,1179,no
230,forward,198,221,rookie,22,1409,no
231,guard,185,200,mid-career,31,213,yes
232,forward,195,221,veteran,25,694,no
233,center,201,244,mid-career,25,1111,yes
234,forward,192,218,veteran,29,561,yes
235,forward,192,218,veteran,29,561,yes
236,guard,185,200,mid-career,31,213,yes
237,center,196,235,veteran,32,47,no
238,center,201,244,mid-career,25,1111,yes
239,guard,185,200,mid-career,31,213,yes
240,guard,192,200,mid-career,32,427,yes
241,guard,172,183,rookie,24,1383,yes
242,guard,189,199,mid-career,27,385,yes
243,forward,197,221,rookie,22,1312,no
244,forward,195,221,veteran,25,694,no
245,guard,166,188,rookie,21,1536,yes
246,guard,182,199,rookie,21,1678,yes
247,center,196,235,veteran,32,47,no
248,guard,189,199,,27,385,yes
249,center,201,244,mid-career,25,1111,yes
250,forward,198,223,veteran,29,362,yes
251,forward,192,218,veteran,29,561,yes
252,center,195,235,mid-career,28,481,no
253,forward,205,232,rookie,24,1416,no
254,guard,185,207,rookie,23,1497,yes
255,guard,178,193,rookie,21,1078,no
256,guard,185,197,mid-career,29,178,yes
257,center,196,235,veteran,32,47,no
258,forward,184,213,mid-career,32,12,no
259,guard,178,193,rookie,21,1078,no
260,guard,189,199,mid-career,27,385,yes
261,guard,192,200,mid-career,32,427,yes
262,guard,158,184,veteran,29,162,yes
263,center,201,244,mid-career,25,1111,yes
264,guard,158,184,veteran,29,162,yes
265,forward,191,218,rookie,19,1855,no
266,guard,192,200,mid-career,32,427,yes
267,guard,185,207,rookie,23,1497,yes
268,center,201,244,mid-career,25,1111,yes
269,forward,195,221,veteran,25,694,no
270,center,218,251,mid-career,35,60,no
271,forward,197,221,rookie,22,1312,no
272,guard,158,184,veteran,29,162,yes
273,forward,198,223,veteran,29,362,yes
274,guard,158,184,veteran,29,162,yes
275,guard,178,193,rookie,21,1078,no
276,guard,158,184,veteran,29,162,yes
277,center,196,235,veteran,32,47,no
278,guard,158,184,veteran,29,162,yes
279,center,218,251,mid-career,35,60,no
280,center,218,251,mid-career,35,60,no
281,forward,198,221,rookie,22,1409,no
282,forward,184,213,mid-career,32,12,no
283,forward,190,215,rookie,22,1179,no
284,forward,198,223,veteran,29,362,yes
285,forward,192,218,veteran,29,561,yes
286,forward,192,218,veteran,29,561,yes
287,center,195,235,mid-career,28,481,no
288,center,201,244,mid-career,25,1111,yes
289,center,218,251,mid-career,35,60,no
290,forward,202,220,mid-career,31,542,no
291,guard,185,207,rookie,23,1497,yes
292,forward,191,218,rookie,19,1855,no
293,guard,166,188,rookie,21,1536,yes
294,forward,190,215,,22,1179,no
295,forward,192,219,rookie,22,1359,no
296,forward,190,215,rookie,22,1179,no
297,center,206,246,mid-career,29,314,no
298,guard,178,193,rookie,21,1078,no
299,center,196,235,veteran,32,47,no
300,guard,158,184,veteran,29,162,yes
301,guard,166,188,rookie,21,1536,yes
302,guard,178,193,rookie,21,1078,no
303,forward,198,223,veteran,29,362,yes
304,guard,192,200,mid-career,32,427,yes
305,center,218,251,mid-career,35,60,no
306,guard,166,188,rookie,21,1536,yes
307,forward,184,213,mid-career,32,12,no
308,center,206,246,mid-career,29,314,no
309,forward,215,232,mid-career,30,434,no
310,forward,215,232,mid-career,30,434,no
311,forward,192,218,veteran,29,561,yes
312,guard,189,199,mid-career,27,385,yes
313,forward,198,221,rookie,22,1409,no
314,center,196,235,veteran,32,47,no
315,guard,166,188,rookie,21,1536,yes
316,forward,215,232,mid-career,30,434,no
317,center,207,247,veteran,27,1065,no
318,forward,197,221,rookie,22,1312,no
319,guard,192,200,mid-career,32,427,yes
320,forward,198,221,rookie,22,1409,no
321,center,196,235,veteran,32,47,no
322,forward,192,219,rookie,22,1359,no
323,center,195,235,mid-career,28,481,no
324,forward,191,218,rookie,19,1855,no
325,forward,197,221,rookie,22,1312,no
326,center,195,235,mid-career,28,481,no
327,guard,192,200,mid-career,32,427,yes
328,forward,195,221,veteran,25,694,no
329,guard,192,200,mid-career,32,427,yes
330,guard,189,199,mid-career,27,385,yes
331,forward,192,218,veteran,29,561,yes
332,guard,182,199,rookie,21,1678,yes
333,forward,195,221,veteran,25,694,no
334,guard,190,207,mid-career,27,648,yes
335,guard,182,199,rookie,21,1678,yes
336,forward,192,218,veteran,29,561,yes
337,center,206,246,mid-career,29,314,no
338,forward,198,221,rookie,22,1409,no
339,guard,185,200,mid-career,31,213,yes
340,guard,185,200,,31,213,yes
341,guard,190,207,mid-career,27,648,yes
342,forward,190,215,rookie,22,1179,no
343,center,201,244,mid-career,25,1111,yes
344,forward,205,232,rookie,24,1416,no
345,forward,197,221,rookie,22,1312,no
346,,195,221,veteran,25,694,no
347,forward,198,221,rookie,22,1409,no
348,,215,232,mid-career,30,434,no
349,forward,191,218,rookie,19,1855,no
350,forward,215,232,mid-career,30,434,no
351,guard,185,200,mid-career,31,213,yes
352,guard,192,200,mid-career,32,427,yes
353,forward,198,221,rookie,22,1409,no
354,guard,158,184,veteran,29,162,yes
355,center,218,251,mid-career,35,60,no
356,forward,192,218,veteran,29,561,yes
357,forward,215,232,mid-career,30,434,no
358,center,201,244,mid-career,25,1111,yes
359,guard,185,207,rookie,23,1497,yes
360,forward,198,223,veteran,29,362,yes
361,forward,198,223,veteran,29,362,yes
362,center,196,235,veteran,32,47,no
363,forward,190,215,rookie,22,1179,no
364,guard,189,199,mid-career,27,385,yes
365,guard,189,199,mid-career,27,385,yes
366,forward,197,221,rookie,22,1312,no
367,center,195,235,mid-career,28,481,no
368,forward,215,232,mid-career,30,434,no
369,forward,215,232,mid-career,30,434,no
370,forward,197,221,rookie,22,1312,no
371,guard,192,200,mid-career,32,427,yes
372,guard,178,193,rookie,21,1078,no
373,forward,184,213,mid-career,32,12,no
374,guard,178,193,rookie,21,1078,no
375,forward,192,218,veteran,29,561,yes
376,guard,178,193,rookie,21,1078,no
377,guard,192,200,mid-career,32,427,yes
378,center,206,246,mid-career,29,314,no
379,guard,158,184,veteran,29,162,yes
380,guard,182,199,rookie,21,1678,yes
381,forward,192,219,rookie,22,1359,no
382,guard,166,188,rookie,21,1536,yes
383,guard,182,199,rookie,21,1678,yes
384,guard,192,200,mid-career,32,427,yes
385,center,201,244,mid-career,25,1111,yes
386,forward,197,221,rookie,22,1312,no
387,forward,215,232,mid-career,30,434,no
388,center,201,244,mid-career,25,1111,yes
389,guard,185,200,mid-career,31,213,yes
390,forward,197,221,rookie,22,1312,no
391,guard,185,200,mid-career,31,213,yes
392,center,207,247,veteran,27,1065,no
393,guard,190,207,mid-career,27,648,yes
394,guard,169,183,rookie,24,1034,yes
395,guard,190,207,mid-career,27,648,yes
396,center,218,251,,35,60,no
397,forward,184,213,mid-career,32,12,no
398,forward,197,221,rookie,22,1312,no
399,forward,215,232,mid-career,30,434,no
400,center,207,247,veteran,27,1065,no
401,guard,189,199,mid-career,27,385,yes
402,forward,192,219,rookie,22,1359,no
403,forward,192,218,veteran,29,561,yes
404,,192,219,rookie,22,1359,no
405,forward,192,218,veteran,29,561,yes
406,guard,169,183,rookie,24,1034,yes
407,forward,202,220,mid-career,31,542,no
408,forward,215,232,mid-career,30,434,no
409,guard,192,200,mid-career,32,427,yes
410,guard,178,193,rookie,21,1078,no
411,guard,182,199,rookie,21,1678,yes
412,forward,195,221,veteran,25,694,no
413,forward,197,221,rookie,22,1312,no
414,guard,158,184,veteran,29,162,yes
415,forward,192,218,veteran,29,561,yes
416,forward,215,232,mid-career,30,434,no
417,guard,185,207,rookie,23,1497,yes
418,center,196,235,veteran,32,47,no
419,center,195,235,mid-career,28,481,no
420,forward,184,213,mid-career,32,12,no
421,forward,190,215,rookie,22,1179,no
422,forward,184,213,mid-career,32,12,no
423,guard,169,183,rookie,24,1034,yes
424,center,201,244,mid-career,25,1111,yes
425,guard,166,188,rookie,21,1536,yes
426,guard,166,188,rookie,21,1536,yes
427,guard,172,183,rookie,24,1383,yes
428,center,195,235,mid-career,28,481,no
429,forward,184,213,mid-career,32,12,no
430,guard,182,199,rookie,21,1678,yes
431,center,196,235,veteran,32,47,no
432,center,196,235,veteran,32,47,no
433,center,218,251,mid-career,35,60,no
434,forward,202,220,mid-career,31,542,no
435,center,201,244,mid-career,25,1111,yes
436,forward,192,218,veteran,29,561,yes
437,forward,198,221,rookie,22,1409,no
438,guard,185,197,mid-career,29,178,yes
439,forward,192,218,veteran,29,561,yes
440,forward,198,223,veteran,29,362,yes
441,forward,198,221,rookie,22,1409,no
442,center,207,247,veteran,27,1065,no
443,forward,215,232,mid-career,30,434,no
444,center,195,235,mid-career,28,481,no
445,forward,192,219,rookie,22,1359,no
446,forward,197,221,rookie,22,1312,no
447,guard,158,184,veteran,29,162,yes
448,guard,158,184,veteran,29,162,yes
449,guard,185,207,rookie,23,1497,yes
450,forward,198,221,rookie,22,1409,no
451,center,201,244,mid-career,25,1111,yes
452,center,207,247,veteran,27,1065,no
453,guard,169,183,rookie,24,1034,yes
454,forward,202,220,mid-career,31,542,no
455,guard,166,188,rookie,21,1536,yes
456,forward,197,221,rookie,22,1312,no
457,forward,198,221,rookie,22,1409,no
458,guard,189,199,mid-career,27,385,yes
459,forward,198,223,veteran,29,362,yes
460,guard,178,193,rookie,21,1078,no
461,center,207,247,veteran,27,1065,no
462,guard,158,184,veteran,29,162,yes
463,guard,169,183,rookie,24,1034,yes
464,forward,202,220,mid-career,31,542,no
465,forward,197,221,rookie,22,1312,no
466,forward,198,221,rookie,22,1409,no
467,forward,192,218,veteran,29,561,yes
468,guard,192,200,mid-career,32,427,yes
469,center,207,247,veteran,27,1065,no
470,forward,202,220,mid-career,31,542,no
471,forward,190,215,rookie,22,1179,no
472,forward,192,218,veteran,29,561,yes
473,forward,197,221,rookie,22,1312,no
474,guard,190,207,mid-career,27,648,yes
475,guard,185,200,mid-career,31,213,yes
476,forward,205,232,rookie,24,1416,no
477,forward,184,213,mid-career,32,12,no
478,forward,191,218,rookie,19,1855,no
479,forward,197,221,rookie,22,1312,no
480,guard,182,199,rookie,21,1678,yes
481,guard,169,183,,24,1034,yes
482,guard,178,193,rookie,21,1078,no
483,guard,190,207,mid-career,27,648,yes
484,guard,185,197,mid-career,29,178,yes
485,forward,184,213,mid-career,32,12,no
486,forward,190,215,rookie,22,1179,no
487,center,218,251,mid-career,35,60,no
488,center,196,235,veteran,32,47,no
489,forward,205,232,rookie,24,1416,no
490,center,218,251,mid-career,35,60,no
491,forward,191,218,rookie,19,1855,no
492,guard,158,184,veteran,29,162,yes
493,guard,182,199,rookie,21,1678,yes
494,forward,192,218,veteran,29,561,yes
495,guard,189,199,mid-career,27,385,yes
496,center,206,246,mid-career,29,314,no
497,forward,184,213,,32,12,no
498,forward,215,232,mid-career,30,434,no
499,forward,195,221,veteran,25,694,no
500,center,207,247,veteran,27,1065,no
501,forward,205,232,rookie,24,1416,no
502,,190,215,rookie,22,1179,no
503,forward,191,218,rookie,19,1855,no
504,forward,197,221,rookie,22,1312,no
505,guard,190,207,mid-career,27,648,yes
506,guard,185,200,mid-career,31,213,yes
507,guard,178,193,rookie,21,1078,no
508,guard,172,183,rookie,24,1383,yes
509,forward,198,221,rookie,22,1409,no
510,forward,191,218,rookie,19,1855,no
511,forward,195,221,veteran,25,694,no
512,guard,185,200,mid-career,31,213,yes
513,forward,192,219,rookie,22,1359,no
514,guard,172,183,rookie,24,1383,yes
515,guard,192,200,mid-career,32,427,yes
516,forward,192,218,veteran,29,561,yes
517,guard,182,199,rookie,21,1678,yes
518,guard,169,183,rookie,24,1034,yes
519,forward,215,232,mid-career,30,434,no
520,guard,169,183,rookie,24,1034,yes
521,guard,185,207,rookie,23,1497,yes
522,center,195,235,mid-career,28,481,no
523,forward,190,215,rookie,22,1179,no
524,guard,185,197,mid-career,29,178,yes
525,forward,198,221,rookie,22,1409,no
526,center,218,251,mid-career,35,60,no
527,center,218,251,mid-career,35,60,no
528,forward,190,215,rookie,22,1179,no
529,forward,184,213,mid-career,32,12,no
530,center,195,235,mid-career,28,481,no
531,guard,185,200,mid-career,31,213,yes
532,forward,191,218,rookie,19,1855,no
533,center,201,244,mid-career,25,1111,yes
534,center,207,247,veteran,27,1065,no
535,forward,184,213,mid-career,32,12,no
536,forward,191,218,rookie,19,1855,no
537,forward,191,218,rookie,19,1855,no
538,forward,184,213,mid-career,32,12,no
539,guard,158,184,veteran,29,162,yes
540,guard,192,200,mid-career,32,427,yes
541,forward,205,232,rookie,24,1416,no
542,guard,166,188,rookie,21,1536,yes
543,guard,185,197,mid-career,29,178,yes
544,forward,184,213,mid-career,32,12,no
545,center,206,246,mid-career,29,314,no
546,forward,198,221,rookie,22,1409,no
547,forward,198,223,veteran,29,362,yes
548,forward,192,218,veteran,29,561,yes
549,guard,182,199,rookie,21,1678,yes
550,forward,202,220,mid-career,31,542,no
551,forward,198,221,rookie,22,1409,no
552,guard,185,207,rookie,23,1497,yes
553,guard,185,207,rookie,23,1497,yes
554,forward,198,223,veteran,29,362,yes
555,forward,195,221,veteran,25,694,no
556,forward,192,219,rookie,22,1359,no
557,guard,166,188,rookie,21,1536,yes
558,guard,172,183,rookie,24,1383,yes
559,guard,192,200,mid-career,32,427,yes
560,center,201,244,,25,1111,yes
561,guard,185,197,mid-career,29,178,yes
562,forward,197,221,rookie,22,1312,no
563,forward,190,215,rookie,22,1179,no
564,guard,182,199,rookie,21,1678,yes
565,guard,192,200,mid-career,32,427,yes
566,forward,215,232,mid-career,30,434,no
567,guard,172,183,rookie,24,1383,yes
568,guard,190,207,mid-career,27,648,yes
569,forward,198,221,rookie,22,1409,no
570,forward,205,232,rookie,24,1416,no
571,center,201,244,mid-career,25,1111,yes
572,center,195,235,mid-career,28,481,no
573,guard,158,184,veteran,29,162,yes
574,guard,178,193,rookie,21,1078,no
575,center,195,235,mid-career,28,481,no
576,forward,198,221,rookie,22,1409,no
577,forward,191,218,rookie,19,1855,no
578,,190,215,rookie,22,1179,no
579,forward,191,218,rookie,19,1855,no
580,,198,223,veteran,29,362,yes
581,forward,191,218,rookie,19,1855,no
582,forward,202,220,mid-career,31,542,no
583,center,201,244,mid-career,25,1111,yes
584,forward,190,215,rookie,22,1179,no
585,guard,189,199,mid-career,27,385,yes
586,guard,185,207,rookie,23,1497,yes
587,forward,202,220,mid-career,31,542,no
588,forward,192,218,veteran,29,561,yes
589,,191,218,rookie,19,1855,no
590,,191,218,rookie,19,1855,no
591,forward,192,218,veteran,29,561,yes
592,guard,185,197,mid-career,29,178,yes
593,center,218,251,,35,60,no
594,center,201,244,mid-career,25,1111,yes
595,forward,184,213,,32,12,no
596,forward,215,232,mid-career,30,434,no
597,guard,185,200,mid-career,31,213,yes
598,guard,182,199,rookie,21,1678,yes
599,guard,172,183,rookie,24,1383,yes
600,forward,202,220,mid-career,31,542,no
601,forward,192,218,veteran,29,561,yes
602,forward,215,232,mid-career,30,434,no
603,center,207,247,veteran,27,1065,no
604,forward,195,221,veteran,25,694,no
605,forward,198,223,veteran,29,362,yes
606,forward,184,213,mid-career,32,12,no
607,center,207,247,veteran,27,1065,no
608,forward,190,215,rookie,22,1179,no
609,forward,197,221,rookie,22,1312,no
610,guard,185,207,rookie,23,1497,yes
611,forward,191,218,rookie,19,1855,no
612,forward,215,232,mid-career,30,434,no
613,center,195,235,mid-career,28,481,no
614,forward,198,223,veteran,29,362,yes
615,forward,184,213,mid-career,32,12,no
616,guard,185,200,mid-career,31,213,yes
617,center,207,247,veteran,27,1065,no
618,guard,169,183,rookie,24,1034,yes
619,forward,198,221,rookie,22,1409,no
620,forward,198,223,veteran,29,362,yes
621,guard,185,197,mid-career,29,178,yes
622,guard,158,184,veteran,29,162,yes
623,center,201,244,mid-career,25,1111,yes
624,guard,169,183,rookie,24,1034,yes
625,center,201,244,mid-career,25,1111,yes
626,guard,192,200,mid-career,32,427,yes
627,forward,198,223,veteran,29,362,yes
628,guard,185,207,rookie,23,1497,yes
629,forward,215,232,mid-career,30,434,no
630,forward,191,218,rookie,19,1855,no
631,forward,191,218,rookie,19,1855,no
632,forward,215,232,mid-career,30,434,no
633,forward,202,220,mid-career,31,542,no
634,forward,195,221,veteran,25,694,no
635,forward,192,219,rookie,22,1359,no
636,forward,192,218,veteran,29,561,yes
637,center,201,244,mid-career,25,1111,yes
638,center,201,244,mid-career,25,1111,yes
639,forward,198,223,veteran,29,362,yes
640,,190,215,rookie,22,1179,no
641,forward,191,218,,19,1855,no
642,forward,205,232,rookie,24,1416,no
643,,184,213,mid-career,32,12,no
644,forward,198,223,veteran,29,362,yes
645,forward,192,219,rookie,22,1359,no
646,center,218,251,mid-career,35,60,no
647,guard,192,200,mid-career,32,427,yes
648,forward,205,232,rookie,24,1416,no
649,forward,191,218,rookie,19,1855,no
650,center,195,235,mid-career,28,481,no
651,forward,191,218,rookie,19,1855,no
652,forward,192,218,veteran,29,561,yes
653,guard,178,193,rookie,21,1078,no
654,forward,198,223,veteran,29,362,yes
655,guard,172,183,rookie,24,1383,yes
656,forward,192,219,rookie,22,1359,no
657,forward,215,232,mid-career,30,434,no
658,guard,178,193,rookie,21,1078,no
659,forward,215,232,mid-career,30,434,no
660,forward,190,215,rookie,22,1179,no
661,center,218,251,mid-career,35,60,no
662,guard,158,184,veteran,29,162,yes
663,forward,198,221,rookie,22,1409,no
664,center,196,235,veteran,32,47,no
665,guard,192,200,mid-career,32,427,yes
666,guard,178,193,rookie,21,1078,no
667,guard,185,207,rookie,23,1497,yes
668,guard,190,207,mid-career,27,648,yes
669,forward,197,221,rookie,22,1312,no
670,forward,198,221,rookie,22,1409,no
671,forward,192,218,veteran,29,561,yes
672,forward,192,218,veteran,29,561,yes
673,center,207,247,veteran,27,1065,no
674,center,195,235,mid-career,28,481,no
675,center,206,246,mid-career,29,314,no
676,forward,198,223,veteran,29,362,yes
677,guard,185,207,rookie,23,1497,yes
678,forward,197,221,rookie,22,1312,no
679,forward,192,218,veteran,29,561,yes
680,forward,192,218,veteran,29,561,yes
681,guard,182,199,rookie,21,1678,yes
682,forward,205,232,rookie,24,1416,no
683,center,206,246,mid-career,29,314,no
684,guard,185,207,rookie,23,1497,yes
685,center,207,247,veteran,27,1065,no
686,guard,172,183,rookie,24,1383,yes
687,guard,185,207,rookie,23,1497,yes
688,guard,169,183,rookie,24,1034,yes
689,center,218,251,mid-career,35,60,no
690,center,207,247,veteran,27,1065,no
691,center,195,235,mid-career,28,481,no
692,guard,190,207,mid-career,27,648,yes
